frame,t_s,vehicles_in_roi,avg_speed_kmh,los,overspeeding,total_unique,helmet_bikes,helmet_violations,triple_violations
1,0.11,8,,A,0,22,3,0,0
2,0.62,6,,A,0,22,3,0,0
3,0.84,7,1.88,A,0,24,3,0,0
4,1.04,6,2.07,A,0,26,3,0,0
5,1.25,5,2.28,A,0,26,6,0,0
6,1.56,4,2.28,A,0,27,6,0,0
7,1.78,6,2.4,A,0,27,6,0,0
8,1.98,5,2.57,A,0,28,6,0,0
9,2.18,6,2.64,A,0,29,6,0,0
10,2.4,6,2.64,A,0,29,8,0,0
11,2.69,6,2.74,A,0,29,8,0,0
12,2.89,5,2.67,A,0,30,8,0,0
13,3.09,6,2.89,A,0,30,8,0,0
14,3.31,5,2.53,A,0,30,8,0,0
15,3.57,5,2.43,A,0,30,10,0,0
16,3.89,6,2.47,A,0,30,10,0,0
17,4.14,6,2.35,A,0,30,10,0,0
18,4.39,6,2.28,A,0,30,10,0,0
19,4.6,7,2.39,A,0,33,12,0,0
20,4.92,6,2.38,A,0,33,12,0,0
21,5.19,6,2.1,A,0,33,12,0,0
22,5.45,6,2.06,A,0,33,12,0,0
23,5.68,7,2.13,A,0,34,14,0,0
24,6.02,6,2.04,A,0,34,14,0,0
25,6.26,7,2,A,0,34,14,0,0
26,6.54,6,2,A,0,34,14,0,0
27,6.79,7,2,A,0,34,16,0,0
28,7.11,7,2.09,A,0,36,16,0,0
29,7.35,7,2.1,A,0,37,16,0,0
30,7.61,8,2.14,A,0,38,16,0,0
31,7.88,6,2.21,A,0,38,17,0,0
32,8.24,9,1.92,A,0,39,17,0,0
33,8.49,9,1.98,A,0,39,17,0,0
34,8.77,9,2.1,A,0,40,17,0,0
35,9.02,10,2.1,A,0,42,17,0,0
36,9.38,9,1.87,A,0,42,17,0,0
37,9.62,11,1.84,A,0,43,17,0,0
38,9.88,10,1.76,A,0,44,17,0,0
39,10.24,8,1.73,A,0,44,19,0,0
40,10.59,9,1.78,A,0,44,19,0,0
41,10.84,8,1.75,A,0,44,19,0,0
42,11.12,7,1.58,A,0,44,19,0,0
43,11.37,9,1.67,A,0,46,19,0,0
44,11.73,10,1.5,A,0,47,19,0,0
